"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC 1806         ","ESO  56-SC47      ","LMCGC","DOR","05 02.2","-67 59","11.5","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","pB;L;gbM                                               ","                                                                                      "
"NGC 1805         ","ESO  85-SC32      ","LMCOC","DOR","05 02.4","-66 07","10.5","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","B;vS;vsmbM;st+ neb                                     ","                                                                                      "
"NGC 1796         ","ESO 119-30        ","GALXY","DOR","05 02.7","-61 08","12.3","12.8","444","24","   1.8 m","   1   m","102","SBb        ","    ","     ","    ","pF;pS;pmE;vglbM                                        ","                                                                                      "
"NGC 1810         ","ESO  85-SC35      ","LMCOC","DOR","05 03.4","-66 23","11.9","99.9","444","24","   1.2 m","        ","   ","           ","    ","     ","    ","cF;S;R;lbM;globular cluster foll                       ","                                                                                      "
"NGC 1814         ","ESO  85-SC36      ","LMCCN","DOR","05 03.8","-67 18"," 9.0","99.9","444","24","        ","        ","   ","E+*        ","    ","     ","    ","vF;R;s of 2 in Cl                                      ","                                                                                      "
"NGC 1816         ","ESO  85-SC37      ","LMCCN","DOR","05 03.8","-67 16"," 9.0","99.9","444","24","  16   m","        ","   ","III 1 m    ","60  ","11.2 ","    ","vF;R;2nd neb in Cl                                     ","                                                                                      "
"NGC 1820         ","ESO  85-SC39      ","LMCOC","DOR","05 04.0","-67 16"," 9.0","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","Cl;pL;Ri;C;iF                                          ","                                                                                      "
"NGC 1818         ","ESO  85-SC40      ","LMCOC","DOR","05 04.2","-66 26"," 9.8","99.9","444","24","   2.5 m","        ","   ","           ","    ","     ","    ","vB;pL;R;vmC;rr                                         ","In LMC                                                                                "
"NGC 1825         ","ESO  56-SC53      ","LMCOC","DOR","05 04.3","-68 56","12.0","99.9","444","24","   0.5 m","        ","   ","           ","    ","     ","    ","no description                                         ","                                                                                      "
"NGC 1828         ","ESO  56-SC54      ","LMCOC","DOR","05 04.3","-69 23","12.5","99.9","444","24","   0.7 m","        ","   ","           ","    ","     ","    ","F;S;R;1st of 3                                         ","                                                                                      "
"NGC 1830         ","ESO  56-SC56      ","LMCOC","DOR","05 04.6","-69 20","12.6","99.9","444","24","   0.8 m","        ","   ","           ","    ","     ","    ","F;pS;R;2nd of 3                                        ","                                                                                      "
"NGC 1829         ","ESO  56-SC57      ","LMCCN","DOR","05 05.0","-68 03"," 8.5","99.9","444","24","        ","        ","   ","E+*        ","    ","     ","    ","F;pL;R;r                                               ","                                                                                      "
"NGC 1796A        ","ESO 119-35        ","GALXY","DOR","05 05.1","-61 29","13.9","13.6","444","24","   1.7 m","   0.5 m","150","Sab        ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 1835         ","ESO  56-SC58      ","LMCGC","DOR","05 05.1","-69 24"," 9.8","99.9","444","24","   1.2 m","        ","   ","3          ","    ","     ","    ","cB;S;R;gmbM;3rd of 3                                   ","In LMC                                                                                "
"NGC 1822         ","ESO  85-SC42      ","LMCOC","DOR","05 05.2","-66 13","13.2","99.9","444","24","   0.8 m","        ","   ","           ","    ","     ","    ","vF;S;p of 2                                            ","                                                                                      "
"NGC 1834         ","ESO  56-SC60      ","3STAR","DOR","05 05.2","-69 12","99.9","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","B;eS;iE                                                ","                                                                                      "
